,Symbol,Name,Sector
0,MMM,3M,Industrials
1,ABT,Abbott Laboratories,Health Care
2,ABBV,AbbVie,Health Care
3,ABMD,Abiomed,Health Care
4,ACN,Accenture,Information Technology
5,ATVI,Activision Blizzard,Communication Services
6,ADM,ADM,Consumer Staples
7,ADBE,Adobe,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AMD,Advanced Micro Devices,Information Technology
10,AES,AES Corp,Utilities
11,AFL,Aflac,Financials
12,A,Agilent Technologies,Health Care
13,APD,Air Products & Chemicals,Materials
14,AKAM,Akamai Technologies,Information Technology
15,ALK,Alaska Air Group,Industrials
16,ALB,Albemarle Corporation,Materials
17,ARE,Alexandria Real Estate Equities,Real Estate
19,ALGN,Align Technology,Health Care
20,ALLE,Allegion,Industrials
21,LNT,Alliant Energy,Utilities
22,ALL,Allstate Corp,Financials
23,GOOGL,Alphabet (Class A),Communication Services
24,GOOG,Alphabet (Class C),Communication Services
25,MO,Altria Group,Consumer Staples
26,AMZN,Amazon,Consumer Discretionary
27,AMCR,Amco,Materials
28,AEE,Ameren Corp,Utilities
29,AAL,American Airlines Group,Industrials
30,AEP,American Electric Power,Utilities
31,AXP,American Express,Financials
32,AIG,American International Group,Financials
33,AMT,American Tower,Real Estate
34,AWK,American Water Works,Utilities
35,AMP,Ameriprise Financial,Financials
36,ABC,AmerisourceBergen,Health Care
37,AME,Ametek,Industrials
38,AMGN,Amgen,Health Care
39,APH,Amphenol Corp,Information Technology
40,ADI,Analog Devices,Information Technology
41,ANSS,Ansys,Information Technology
42,ANTM,Anthem,Health Care
43,AOS,AO Smith,Industrials
44,AON,Aon,Financials
45,APA,APA Corporation,Energy
46,AAPL,Apple,Information Technology
47,AMAT,Applied Materials,Information Technology
48,APTV,Aptiv,Consumer Discretionary
49,ANET,Arista Networks,Information Technology
50,AJG,Arthur J. Gallagher & Co.,Financials
51,AIZ,Assurant,Financials
52,T,AT&T,Communication Services
53,ATO,Atmos Energy,Utilities
54,ADSK,Autodesk,Information Technology
55,ADP,Automatic Data Processing,Information Technology
56,AZO,AutoZone,Consumer Discretionary
57,AVB,AvalonBay Communities,Real Estate
58,AVY,Avery Dennison,Materials
59,BKR,Baker Hughes,Energy
60,BLL,Ball Corp,Materials
61,BAC,Bank of America,Financials
62,BAX,Baxter International,Health Care
63,BDX,Becton Dickinson,Health Care
65,BBY,Best Buy,Consumer Discretionary
66,BIO,Bio-Rad Laboratories,Health Care
67,BIIB,Biogen,Health Care
68,BLK,BlackRock,Financials
69,BK,BNY Mellon,Financials
70,BA,Boeing Company,Industrials
71,BKNG,Booking Holdings,Consumer Discretionary
72,BWA,BorgWarner,Consumer Discretionary
73,BXP,Boston Properties,Real Estate
74,BSX,Boston Scientific,Health Care
75,BMY,Bristol-Myers Squibb,Health Care
76,AVGO,Broadcom,Information Technology
77,BR,Broadridge Financial Solutions,Information Technology
79,CHRW,C. H. Robinson,Industrials
80,COG,Cabot Oil & Gas,Energy
81,CDNS,Cadence Design Systems,Information Technology
82,CZR,Caesars Entertainment,Consumer Discretionary
83,CPB,Campbell Soup,Consumer Staples
84,COF,Capital One Financial,Financials
85,CAH,Cardinal Health,Health Care
86,KMX,CarMax,Consumer Discretionary
87,CCL,Carnival Corporation,Consumer Discretionary
88,CARR,Carrier Global,Industrials
89,CTLT,Catalent,Health Care
90,CAT,Caterpillar,Industrials
91,CBOE,Cboe Global Markets,Financials
92,CBRE,CBRE,Real Estate
93,CDW,CDW,Information Technology
94,CE,Celanese,Materials
95,CNC,Centene Corporation,Health Care
96,CNP,CenterPoint Energy,Utilities
97,CERN,Cerner,Health Care
98,CF,CF Industries,Materials
99,CRL,Charles River Laboratories,Health Care
100,SCHW,Charles Schwab Corporation,Financials
101,CHTR,Charter Communications,Communication Services
102,CVX,Chevron Corporation,Energy
103,CMG,Chipotle Mexican Grill,Consumer Discretionary
104,CB,Chubb,Financials
105,CHD,Church & Dwight,Consumer Staples
106,CI,Cigna,Health Care
107,CINF,Cincinnati Financial,Financials
108,CTAS,Cintas Corporation,Industrials
109,CSCO,Cisco Systems,Information Technology
110,C,Citigroup,Financials
111,CFG,Citizens Financial Group,Financials
112,CTXS,Citrix Systems,Information Technology
113,CLX,Clorox,Consumer Staples
114,CME,CME Group,Financials
115,CMS,CMS Energy,Utilities
116,KO,Coca-Cola Company,Consumer Staples
117,CTSH,Cognizant Technology Solutions,Information Technology
118,CL,Colgate-Palmolive,Consumer Staples
119,CMCSA,Comcast,Communication Services
120,CMA,Comerica,Financials
121,CAG,Conagra Brands,Consumer Staples
122,COP,ConocoPhillips,Energy
123,ED,Consolidated Edison,Utilities
124,STZ,Constellation Brands,Consumer Staples
125,CPRT,Copart,Industrials
126,GLW,Corning,Information Technology
127,CTVA,Corteva,Materials
128,COST,Costco,Consumer Staples
129,CCI,Crown Castle,Real Estate
130,CSX,CSX,Industrials
131,CMI,Cummins,Industrials
132,CVS,CVS Health,Health Care
133,DHI,D. R. Horton,Consumer Discretionary
134,DHR,Danaher Corporation,Health Care
135,DRI,Darden Restaurants,Consumer Discretionary
136,DVA,DaVita,Health Care
137,DE,Deere & Co.,Industrials
138,DAL,Delta Air Lines,Industrials
139,XRAY,Dentsply Sirona,Health Care
140,DVN,Devon Energy,Energy
141,DXCM,DexCom,Health Care
142,FANG,Diamondback Energy,Energy
143,DLR,Digital Realty Trust,Real Estate
144,DFS,Discover Financial Services,Financials
145,DISCA,Discovery (Series A),Communication Services
146,DISCK,Discovery (Series C),Communication Services
147,DISH,Dish Network,Communication Services
148,DG,Dollar General,Consumer Discretionary
149,DLTR,Dollar Tree,Consumer Discretionary
150,D,Dominion Energy,Utilities
151,DPZ,Domino's Pizza,Consumer Discretionary
152,DOV,Dover Corporation,Industrials
153,DOW,Dow,Materials
154,DTE,DTE Energy,Utilities
155,DUK,Duke Energy,Utilities
156,DRE,Duke Realty Corp,Real Estate
157,DD,DuPont,Materials
158,DXC,DXC Technology,Information Technology
159,EMN,Eastman Chemical,Materials
160,ETN,Eaton Corporation,Industrials
161,EBAY,eBay,Consumer Discretionary
162,ECL,Ecolab,Materials
163,EIX,Edison International,Utilities
164,EW,Edwards Lifesciences,Health Care
165,EA,Electronic Arts,Communication Services
166,LLY,Eli Lilly & Co,Health Care
167,EMR,Emerson Electric Company,Industrials
168,ENPH,Enphase Energy,Information Technology
169,ETR,Entergy,Utilities
170,EOG,EOG Resources,Energy
171,EFX,Equifax,Industrials
172,EQIX,Equinix,Real Estate
173,EQR,Equity Residential,Real Estate
174,ESS,Essex Property Trust,Real Estate
175,EL,Estée Lauder Companies,Consumer Staples
176,ETSY,Etsy,Consumer Discretionary
177,RE,Everest Re,Financials
178,EVRG,Evergy,Utilities
179,ES,Eversource Energy,Utilities
180,EXC,Exelon,Utilities
181,EXPE,Expedia Group,Consumer Discretionary
182,EXPD,Expeditors,Industrials
183,EXR,Extra Space Storage,Real Estate
184,XOM,ExxonMobil,Energy
185,FFIV,F5 Networks,Information Technology
186,FB,Facebook,Communication Services
187,FAST,Fastenal,Industrials
188,FRT,Federal Realty Investment Trust,Real Estate
189,FDX,FedEx,Industrials
190,FIS,Fidelity National Information Services,Information Technology
191,FITB,Fifth Third Bancorp,Financials
192,FRC,First Republic Bank,Financials
193,FE,FirstEnergy,Utilities
194,FISV,Fiserv,Information Technology
195,FLT,Fleetcor,Information Technology
196,FMC,FMC Corporation,Materials
197,F,Ford,Consumer Discretionary
198,FTNT,Fortinet,Information Technology
199,FTV,Fortive,Industrials
200,FBHS,Fortune Brands Home & Security,Industrials
201,FOXA,Fox Corporation (Class A),Communication Services
202,FOX,Fox Corporation (Class B),Communication Services
203,BEN,Franklin Resources,Financials
204,FCX,Freeport-McMoRan,Materials
205,GPS,Gap,Consumer Discretionary
206,GRMN,Garmin,Consumer Discretionary
207,IT,Gartner,Information Technology
208,GNRC,Generac Holdings,Industrials
209,GD,General Dynamics,Industrials
210,GE,General Electric,Industrials
211,GIS,General Mills,Consumer Staples
212,GM,General Motors,Consumer Discretionary
213,GPC,Genuine Parts,Consumer Discretionary
214,GILD,Gilead Sciences,Health Care
215,GPN,Global Payments,Information Technology
216,GL,Globe Life,Financials
217,GS,Goldman Sachs,Financials
218,HAL,Halliburton,Energy
219,HBI,Hanesbrands,Consumer Discretionary
220,HAS,Hasbro,Consumer Discretionary
221,HCA,HCA Healthcare,Health Care
222,PEAK,Healthpeak Properties,Real Estate
223,HSIC,Henry Schein,Health Care
224,HES,Hess Corporation,Energy
225,HPE,Hewlett Packard Enterprise,Information Technology
226,HLT,Hilton Worldwide,Consumer Discretionary
